Syscall Latency Profile
=======================
Total Duration: 300.132 s
Total Events:   354637

Syscall                   Count      Avg(ns)      P50(ns)      P99(ns)      Max(ns)     Errors  ErrRate
------------------------------------------------------------------------------------------------------------------------
getrusage                334619       750109         8192      2097152    422200942       1883     0.6%
fcntl                      5140      1346175      2097152      2097152      2374768          0     0.0%
semtimedop                 1023        18278        16384        65536      2070265          0     0.0%
clone                       257        27181        16384        65536      3119815          0     0.0%
epoll_ctl                  1024         4380         4096        16384       240876          0     0.0%
semget                      270        10965        16384        32768       351669          0     0.0%
nanosleep                   257         8547        16384        32768        27292          0     0.0%
personality                4094          317          256         2048         9625          0     0.0%
pipe2                      1023          857         1024         4096        15167          0     0.0%
kill                       2570          194          128         1024         8083          0     0.0%
uname                       514          700          512         4096         8708          0     0.0%
getcwd                      514          671          512         4096         9374          0     0.0%
fork                        257         1088         1024         8192        18792          0     0.0%
shmget                      771          320          256         1024         2125        514    66.7%
query_module               1024          228          256         1024         1458          0     0.0%
sysinfo                    1023          209          256          512          750          0     0.0%
iopl                        257          426          512         1024         1084          0     0.0%
